Time,pH0,pH1,pH2
Tue Apr 16 18:16:55 2024,13.6,6.64,4.1
Tue Apr 16 18:17:00 2024,13.6,6.66,4.1
Tue Apr 16 18:17:00 2024,13.6,6.66,4.1
Tue Apr 16 18:17:00 2024,13.6,6.67,4.1
Tue Apr 16 18:17:00 2024,13.6,6.67,4.1
Tue Apr 16 18:17:00 2024,13.6,6.69,4.12
Tue Apr 16 18:17:00 2024,13.55,6.69,4.1
Tue Apr 16 18:17:06 2024,12.03,6.69,4.12
Tue Apr 16 18:17:06 2024,7.49,6.69,4.1
Tue Apr 16 18:17:06 2024,5.71,6.69,4.1
Tue Apr 16 18:17:06 2024,5.61,6.67,4.1
Tue Apr 16 18:17:06 2024,4.02,6.69,4.1
Tue Apr 16 18:17:11 2024,3.77,6.67,4.1
Tue Apr 16 18:17:11 2024,3.81,6.69,4.1
Tue Apr 16 18:17:11 2024,3.81,6.67,4.1
Tue Apr 16 18:17:11 2024,3.81,6.66,4.1
Tue Apr 16 18:17:11 2024,3.83,6.67,4.1
Tue Apr 16 18:17:16 2024,3.83,2.79,4.1
Tue Apr 16 18:17:16 2024,3.81,0.45,4.1
Tue Apr 16 18:17:16 2024,3.77,0,4.1
Tue Apr 16 18:17:16 2024,3.76,0,4.1
Tue Apr 16 18:17:16 2024,3.76,0.97,4.1
Tue Apr 16 18:17:21 2024,3.76,3.53,4.1
Tue Apr 16 18:17:21 2024,3.75,4.66,4.1
Tue Apr 16 18:17:21 2024,3.69,4.74,4.1
Tue Apr 16 18:17:21 2024,3.69,4.76,4.1
Tue Apr 16 18:17:21 2024,5.61,4.76,4.1
Tue Apr 16 18:17:26 2024,9.09,4.77,4.09
Tue Apr 16 18:17:26 2024,10.65,4.79,4.1
Tue Apr 16 18:17:26 2024,11.06,4.79,4.1
Tue Apr 16 18:17:26 2024,11.06,4.79,4.1
Tue Apr 16 18:17:26 2024,11.03,4.79,4.09
Tue Apr 16 18:17:32 2024,11.12,4.79,4.1
Tue Apr 16 18:17:32 2024,11.13,4.77,4.09
Tue Apr 16 18:17:32 2024,11.12,4.8,4.1
Tue Apr 16 18:17:32 2024,11.12,4.77,4.1
Tue Apr 16 18:17:32 2024,11.16,4.76,4.1
Tue Apr 16 18:17:32 2024,11.12,4.76,4.09
Tue Apr 16 18:17:32 2024,11.14,4.79,0.7
Tue Apr 16 18:17:39 2024,11.16,4.79,0.33
Tue Apr 16 18:17:39 2024,11.14,4.8,3.55
Tue Apr 16 18:17:39 2024,11.16,4.8,5.14
Tue Apr 16 18:17:39 2024,11.17,4.8,6.34
Tue Apr 16 18:17:39 2024,11.17,4.8,7.26
Tue Apr 16 18:17:44 2024,11.17,4.8,7.01
Tue Apr 16 18:17:44 2024,11.17,4.8,6.58
Tue Apr 16 18:17:44 2024,11.16,4.81,8.83
Tue Apr 16 18:17:44 2024,11.17,4.81,8.67
Tue Apr 16 18:17:44 2024,11.14,4.81,8
Tue Apr 16 18:17:49 2024,11.13,4.81,4.17
Tue Apr 16 18:17:49 2024,11.13,4.83,4.12
Tue Apr 16 18:17:49 2024,11.13,4.8,4.09
Tue Apr 16 18:17:49 2024,11.13,4.81,4.1
Tue Apr 16 18:17:49 2024,11.13,4.81,4.1
Tue Apr 16 18:17:54 2024,11.13,4.83,4.1
Tue Apr 16 18:17:54 2024,11.13,4.83,4.09
